file_name,label_column,label,row_count,percentage,label_category
ALL_FILES,Label,Benign,97831,22.679086,benign_traffic
ALL_FILES,Label,DrDoS_DNS,3669,0.850544,ddos_traffic
ALL_FILES,Label,DrDoS_LDAP,1440,0.333819,ddos_traffic
ALL_FILES,Label,DrDoS_MSSQL,6212,1.44006,ddos_traffic
ALL_FILES,Label,DrDoS_NTP,121368,28.13541,ddos_traffic
ALL_FILES,Label,DrDoS_NetBIOS,598,0.138628,ddos_traffic
ALL_FILES,Label,DrDoS_SNMP,2717,0.629852,ddos_traffic
ALL_FILES,Label,DrDoS_UDP,10420,2.415554,ddos_traffic
ALL_FILES,Label,LDAP,1906,0.441847,ddos_traffic
ALL_FILES,Label,MSSQL,8523,1.975793,ddos_traffic
ALL_FILES,Label,NetBIOS,644,0.149291,ddos_traffic
ALL_FILES,Label,Portmap,685,0.158796,ddos_traffic
ALL_FILES,Label,Syn,49373,11.4456,ddos_traffic
ALL_FILES,Label,TFTP,98917,22.930841,ddos_traffic
ALL_FILES,Label,UDP,18090,4.193606,ddos_traffic
ALL_FILES,Label,UDP-lag,8872,2.056698,ddos_traffic
ALL_FILES,Label,UDPLag,55,0.01275,ddos_traffic
ALL_FILES,Label,WebDDoS,51,0.011823,ddos_traffic
